break_even_price,open_interest,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe,day.close,day.high,day.last_updated,day.low,day.open,day.volume,day.vwap,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,day.change,day.change_percent,day.previous_close,implied_volatility,greeks.delta,greeks.gamma,greeks.theta,greeks.vega
490.98,54,call,american,2024-01-30,100,450,O:SPY240130C00450000,41.17,305,316,40.79,305,316,1706562880324112640,40.98,REAL-TIME,0.04,1706566042664777472,490.94,SPY,REAL-TIME,40.38,40.38,1.7065044e+18,40.38,40.38,380.0,40.38,1.706559385491743e+18,[232],40.38,380.0,312.0,REAL-TIME,6.31,18.521,34.07,,,,,
490.985,0,call,american,2024-01-30,100,451,O:SPY240130C00451000,40.18,305,316,39.79,305,316,1706562880324342016,39.985,REAL-TIME,0.045,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.985,0,call,american,2024-01-30,100,452,O:SPY240130C00452000,39.18,305,316,38.79,305,316,1706562880324322560,38.985,REAL-TIME,0.045,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.985,1,call,american,2024-01-30,100,453,O:SPY240130C00453000,38.18,305,316,37.79,305,316,1706562880324387072,37.985,REAL-TIME,0.045,1706566042664777472,490.94,SPY,REAL-TIME,34.23,34.23,1.7062164e+18,34.23,34.23,1.0,34.23,1.706215145345e+18,[232],34.23,1.0,308.0,REAL-TIME,0.0,0.0,34.23,,,,,
490.985,0,call,american,2024-01-30,100,454,O:SPY240130C00454000,37.18,305,316,36.79,305,316,1706562880324366848,36.985,REAL-TIME,0.045,1706566042664777472,490.94,SPY,REAL-TIME,33.53,33.53,1.7065044e+18,33.53,33.53,3.0,33.53,1.7065435036344612e+18,[209],33.53,3.0,319.0,REAL-TIME,,,,,,,,
490.985,0,call,american,2024-01-30,100,455,O:SPY240130C00455000,36.18,305,316,35.79,305,316,1706562880323550464,35.985,REAL-TIME,0.045,1706566042664777472,490.94,SPY,REAL-TIME,33.17,33.17,1.7065044e+18,33.17,33.17,1.0,33.17,1.7065515436213368e+18,[236],33.17,1.0,312.0,REAL-TIME,,,,,,,,
490.985,79,call,american,2024-01-30,100,456,O:SPY240130C00456000,35.18,305,316,34.79,305,316,1706562880323535104,34.985,REAL-TIME,0.045,1706566042664777472,490.94,SPY,REAL-TIME,31.93,31.93,1.7065044e+18,31.93,31.93,8.0,31.93,1.7065396264710218e+18,[232],31.93,4.0,302.0,REAL-TIME,0.72,2.307,31.21,,,,,
490.985,0,call,american,2024-01-30,100,457,O:SPY240130C00457000,34.18,305,316,33.79,305,316,1706562880324107008,33.985,REAL-TIME,0.045,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.985,0,call,american,2024-01-30,100,458,O:SPY240130C00458000,33.18,305,316,32.79,305,316,1706562880324096768,32.985,REAL-TIME,0.045,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.985,0,call,american,2024-01-30,100,459,O:SPY240130C00459000,32.18,305,316,31.79,305,316,1706562880324122368,31.985,REAL-TIME,0.045,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
